Ne vsebuje 	18000: -0.963 
Vsebuje 	18754: -0.665 
Ne vsebuje 	18755: -1.256 
Ne vsebuje 	18756: -0.995 
Ne vsebuje 	18757: -1.425 
Ne vsebuje 	18758: -1.200 
Ne vsebuje 	18759: -1.054 
Ne vsebuje 	18760: -1.276 
Ne vsebuje 	18761: -1.708 
Ne vsebuje 	18762: -0.880 
Ne vsebuje 	18763: -0.665 
Ne vsebuje 	18764: -1.003 
Ne vsebuje 	18765: -1.418 
Ne vsebuje 	18766: -0.780 
Ne vsebuje 	18767: -0.844 
Vsebuje 	18768: 0.568 
Vsebuje 	18769: 0.592 
Ne vsebuje 	18770: -1.138 
Ne vsebuje 	18771: -1.383 
Vsebuje 	18772: 0.428 
Ne vsebuje 	18773: -1.397 
Ne vsebuje 	18774: -1.370 
Ne vsebuje 	18775: -1.384 
Ne vsebuje 	18776: -1.167 
Ne vsebuje 	18777: -0.827 
Ne vsebuje 	18778: -1.263 
Ne vsebuje 	18779: -1.115 
Ne vsebuje 	18780: -0.927 
Ne vsebuje 	18781: -1.259 
Ne vsebuje 	18782: -0.860 
Ne vsebuje 	18783: -1.138 
Ne vsebuje 	18784: -0.967 
Ne vsebuje 	18785: -1.183 
Ne vsebuje 	18786: -2.109 
Ne vsebuje 	18787: -1.398 
Ne vsebuje 	18788: -1.216 
Ne vsebuje 	18789: -0.996 
Ne vsebuje 	18790: -1.748 
Ne vsebuje 	18791: -1.466 
Ne vsebuje 	18792: -1.482 
Ne vsebuje 	18793: -1.276 
Ne vsebuje 	18794: -1.349 
Ne vsebuje 	18795: -1.526 
Ne vsebuje 	18796: -1.723 
Ne vsebuje 	18797: -1.313 
Ne vsebuje 	18798: -0.920 
Ne vsebuje 	18799: -1.111 
Ne vsebuje 	18800: -1.155 
Ne vsebuje 	18801: -0.663 
Ne vsebuje 	18802: -1.306 
Ne vsebuje 	18803: -1.022 
Ne vsebuje 	18804: -1.135 
Ne vsebuje 	18805: -0.994 
Ne vsebuje 	18806: -1.338 
Ne vsebuje 	18807: -0.944 
Vsebuje 	18808: -0.270 
Ne vsebuje 	18809: -1.628 
Ne vsebuje 	18810: -0.734 
Ne vsebuje 	18811: -0.289 
Vsebuje 	18812: -0.532 
Ne vsebuje 	18813: -1.180 
Ne vsebuje 	18814: -1.450 
Ne vsebuje 	18815: -0.412 
Ne vsebuje 	18816: -1.087 
Vsebuje 	18817: 0.130 
Ne vsebuje 	18818: -0.053 
Ne vsebuje 	18819: -1.156 
Vsebuje 	18820: -0.075 
Vsebuje 	18821: 0.571 
Ne vsebuje 	18822: -0.960 
Ne vsebuje 	18823: -0.789 
Ne vsebuje 	18824: -0.539 
Vsebuje 	18825: 0.355 
Ne vsebuje 	18826: -0.525 
Vsebuje 	18827: -0.575 
Ne vsebuje 	18828: -0.996 
Ne vsebuje 	18829: -0.808 
Ne vsebuje 	18830: -0.628 
Ne vsebuje 	18831: -0.454 
Ne vsebuje 	18832: -0.910 
Vsebuje 	18833: 0.345 
Ne vsebuje 	18834: -1.045 
Ne vsebuje 	18835: -0.336 
Ne vsebuje 	18836: -1.002 
Ne vsebuje 	18837: -1.117 
Ne vsebuje 	18838: -0.807 
Ne vsebuje 	18839: -1.169 
Ne vsebuje 	18840: -1.053 
Ne vsebuje 	18841: -1.553 
Ne vsebuje 	18842: 0.815 
Ne vsebuje 	18843: -0.811 
Vsebuje 	18844: -0.162 
Ne vsebuje 	18845: -0.801 
Vsebuje 	18846: 0.021 
Ne vsebuje 	18847: -0.925 
Ne vsebuje 	18848: -1.111 
Ne vsebuje 	18849: -1.036 
Ne vsebuje 	18850: -0.911 
Ne vsebuje 	18851: -1.113 
Vsebuje 	18852: 0.485 
Ne vsebuje 	18853: -1.156 
Vsebuje 	18854: -0.293 
Vsebuje 	18855: 0.566 
Vsebuje 	18856: 0.807 
Vsebuje 	18857: 1.358 
Vsebuje 	18858: -0.169 
Vsebuje 	18859: -0.482 
Vsebuje 	18860: 1.509 
Vsebuje 	18861: -0.532 
Vsebuje 	18862: 0.610 
Vsebuje 	18863: 1.289 
Vsebuje 	18864: -0.464 
Vsebuje 	18865: -1.357 
Vsebuje 	18866: -0.210 
Vsebuje 	18867: 0.933 
Vsebuje 	18868: 0.816 
Vsebuje 	18869: 0.856 
Vsebuje 	18870: 0.792 
Vsebuje 	18871: 0.887 
Vsebuje 	18872: 0.136 
Vsebuje 	18873: -0.002 
Vsebuje 	18874: -0.042 
Vsebuje 	18875: -0.102 
Vsebuje 	18876: -0.733 
Vsebuje 	18877: 0.310 
Ne vsebuje 	18878: -0.464 
Vsebuje 	18879: 0.772 
Vsebuje 	18880: 0.421 
Vsebuje 	18881: -0.490 
Vsebuje 	18882: -0.114 
Vsebuje 	18883: 0.416 
Vsebuje 	18884: 0.414 
Ne vsebuje 	18885: -1.330 
Vsebuje 	18886: -0.826 
Vsebuje 	18887: 0.690 
Vsebuje 	18888: 0.704 
Vsebuje 	18889: 0.489 
Ne vsebuje 	18890: -1.062 
Ne vsebuje 	18891: -1.109 
Ne vsebuje 	18892: -1.414 
Ne vsebuje 	18893: -1.430 
Ne vsebuje 	18894: -1.133 
Ne vsebuje 	18895: -1.514 
Ne vsebuje 	18896: -1.030 
Ne vsebuje 	18897: -1.061 
Ne vsebuje 	18898: -1.286 
Ne vsebuje 	18899: -0.872 
Ne vsebuje 	18900: -1.133 
Ne vsebuje 	18901: -1.666 
Ne vsebuje 	18902: -1.322 
Ne vsebuje 	18903: -1.397 
Ne vsebuje 	18904: -0.879 
Ne vsebuje 	18905: -1.260 
Ne vsebuje 	18906: -1.324 
Ne vsebuje 	18907: -1.073 
Ne vsebuje 	18908: -0.920 
Ne vsebuje 	18909: -1.110 
Ne vsebuje 	18910: -1.392 
Ne vsebuje 	18911: -1.089 
Ne vsebuje 	18912: -1.168 
Ne vsebuje 	18913: -1.375 
Ne vsebuje 	18914: -1.170 
Ne vsebuje 	18915: -1.073 
Ne vsebuje 	18916: -0.869 
Ne vsebuje 	18917: -1.092 
Ne vsebuje 	18918: -1.212 
Ne vsebuje 	18919: -0.953 
Ne vsebuje 	18920: -1.313 
Ne vsebuje 	18921: -0.936 
Ne vsebuje 	18922: -0.655 
Ne vsebuje 	18923: -1.058 
Ne vsebuje 	18924: -1.402 
Ne vsebuje 	18925: -0.997 
Ne vsebuje 	18926: -0.948 
Ne vsebuje 	18927: -1.310 
Ne vsebuje 	18928: -1.066 
Ne vsebuje 	18929: -1.337 
Ne vsebuje 	18930: -1.068 
Ne vsebuje 	18931: -0.905 
Ne vsebuje 	18932: -1.097 
Ne vsebuje 	18933: -1.438 
Ne vsebuje 	18934: -1.264 
Ne vsebuje 	18935: -1.317 
Ne vsebuje 	18936: -1.218 
Ne vsebuje 	18937: -1.325 
Ne vsebuje 	18938: -1.324 
Ne vsebuje 	18939: -1.133 
Ne vsebuje 	18940: -1.235 
Ne vsebuje 	18941: -1.132 
Ne vsebuje 	18942: -1.418 
Ne vsebuje 	18943: -1.090 
Ne vsebuje 	18944: -1.461 
Ne vsebuje 	18945: -1.260 
Ne vsebuje 	18946: -1.450 
Ne vsebuje 	18947: -1.420 
Ne vsebuje 	18948: -1.090 
Ne vsebuje 	18949: -0.539 
Ne vsebuje 	18950: -1.589 
Ne vsebuje 	18951: -1.141 
Ne vsebuje 	18952: -1.352 
Ne vsebuje 	18953: -1.426 
Ne vsebuje 	18954: -1.025 
Ne vsebuje 	18955: -0.928 
Ne vsebuje 	18956: -1.127 
Ne vsebuje 	18957: -1.075 
Ne vsebuje 	18958: -1.011 
Ne vsebuje 	18959: -1.300 
Ne vsebuje 	18960: -1.026 
Ne vsebuje 	18961: -1.435 
Ne vsebuje 	18962: -0.856 
Ne vsebuje 	18963: -1.243 
Ne vsebuje 	18964: -1.322 
Ne vsebuje 	18965: -1.262 
Ne vsebuje 	18966: -1.184 
Ne vsebuje 	18967: -1.033 
Ne vsebuje 	18968: -1.141 
Ne vsebuje 	18969: -0.492 
Ne vsebuje 	18970: -1.066 
Ne vsebuje 	18971: -1.338 
Ne vsebuje 	18972: -1.674 
Ne vsebuje 	18973: -1.377 
Ne vsebuje 	18974: -1.224 
Ne vsebuje 	18975: -1.365 
Ne vsebuje 	18976: -1.163 
Ne vsebuje 	18977: -1.071 
Ne vsebuje 	18978: -1.017 
Ne vsebuje 	18979: -1.559 
Ne vsebuje 	18980: -1.021 
Ne vsebuje 	18981: -0.778 
Ne vsebuje 	18982: -1.196 
Ne vsebuje 	18983: -0.427 
Ne vsebuje 	18984: -1.030 
Vsebuje 	18985: -0.665 
Ne vsebuje 	18986: -0.903 
Ne vsebuje 	18987: -1.406 
Ne vsebuje 	18988: -0.683 
Ne vsebuje 	18989: -0.876 
Ne vsebuje 	18990: -1.118 
Ne vsebuje 	18991: -0.622 
Vsebuje 	18992: -0.678 
Ne vsebuje 	18993: -1.281 
Ne vsebuje 	18994: -1.285 
Vsebuje 	18995: 0.078 
Ne vsebuje 	18996: -1.391 
Ne vsebuje 	18997: -1.647 
Vsebuje 	18998: 0.798 
Ne vsebuje 	18999: -1.182 
Ne vsebuje 	19000: -1.265 
Ne vsebuje 	19001: -1.419 
Ne vsebuje 	19002: -1.058 
Ne vsebuje 	19003: -0.898 
Ne vsebuje 	19004: -1.121 
Ne vsebuje 	19005: -0.435 
Ne vsebuje 	19006: -1.143 
Ne vsebuje 	19007: -1.266 
Ne vsebuje 	19008: -1.155 
Ne vsebuje 	19009: -0.758 
Ne vsebuje 	19010: -1.136 
Ne vsebuje 	19011: -1.113 
Ne vsebuje 	19012: -0.944 
Ne vsebuje 	19013: -0.756 
Ne vsebuje 	19014: -0.775 
Ne vsebuje 	19015: -1.126 
Vsebuje 	19016: 0.680 
Ne vsebuje 	19017: -1.201 
Ne vsebuje 	19018: -1.275 
Ne vsebuje 	19019: -1.072 
Ne vsebuje 	19020: -0.891 
Ne vsebuje 	19021: -1.189 
Ne vsebuje 	19022: -1.127 
Ne vsebuje 	19023: -0.909 
Ne vsebuje 	19024: -1.475 
Ne vsebuje 	19025: -0.967 
Vsebuje 	19026: -1.268 
Ne vsebuje 	19027: -0.912 
Ne vsebuje 	19028: -0.836 
Ne vsebuje 	19029: -1.252 
Vsebuje 	19030: 1.472 
Vsebuje 	19031: 1.161 
Ne vsebuje 	19032: -1.361 
Ne vsebuje 	19033: -0.715 
Ne vsebuje 	19034: -1.111 
Ne vsebuje 	19035: -0.623 
Ne vsebuje 	19036: -1.461 
Ne vsebuje 	19037: -1.026 
Ne vsebuje 	19038: -1.064 
Ne vsebuje 	19039: -1.062 
Vsebuje 	19040: -0.554 
Ne vsebuje 	19041: -1.087 
Ne vsebuje 	19042: -1.584 
Ne vsebuje 	19043: -1.695 
Ne vsebuje 	19044: -0.704 
Ne vsebuje 	19045: -1.223 
Ne vsebuje 	19046: -1.006 
Ne vsebuje 	19047: -0.582 
Ne vsebuje 	19048: -1.304 
Ne vsebuje 	19049: -1.189 
Ne vsebuje 	19050: -0.498 
Ne vsebuje 	19051: -1.488 
Ne vsebuje 	19052: -0.482 
Ne vsebuje 	19053: -0.733 
Ne vsebuje 	19054: -0.531 
Ne vsebuje 	19055: -0.854 
Ne vsebuje 	19056: -0.430 
Ne vsebuje 	19057: -1.331 
Ne vsebuje 	19058: -0.466 
Ne vsebuje 	19059: -1.014 
Ne vsebuje 	19060: -1.338 
Ne vsebuje 	19061: -1.143 
Ne vsebuje 	19062: -0.813 
Ne vsebuje 	19063: -0.951 
Ne vsebuje 	19064: -1.332 
Ne vsebuje 	19065: -1.419 
Ne vsebuje 	19066: -0.543 
Vsebuje 	19067: -0.798 
Ne vsebuje 	19068: -1.321 
Ne vsebuje 	19069: -1.413 
Ne vsebuje 	19070: -1.045 
Ne vsebuje 	19071: -1.005 
Ne vsebuje 	19072: -0.978 
Ne vsebuje 	19073: -1.308 
Ne vsebuje 	19074: -1.217 
Ne vsebuje 	19075: -1.366 
Ne vsebuje 	19076: -0.797 
Vsebuje 	19077: 0.030 
Ne vsebuje 	19078: -1.121 
Vsebuje 	19079: -0.576 
Ne vsebuje 	19080: -0.441 
Ne vsebuje 	19081: -1.147 
Ne vsebuje 	19082: -1.122 
Ne vsebuje 	19083: -1.371 
Ne vsebuje 	19084: -0.857 
Ne vsebuje 	19085: -1.175 
Ne vsebuje 	19086: -1.229 
Ne vsebuje 	19087: -0.858 
Ne vsebuje 	19088: -0.244 
Ne vsebuje 	19089: -1.172 
Ne vsebuje 	19090: -0.702 
Ne vsebuje 	19091: -0.540 
Ne vsebuje 	19092: -0.319 
Ne vsebuje 	19093: -1.289 
Ne vsebuje 	19094: -0.973 
Vsebuje 	19095: -0.727 
Ne vsebuje 	19096: -1.366 
Ne vsebuje 	19097: -1.364 
Ne vsebuje 	19098: -0.441 
Ne vsebuje 	19099: -1.109 
Ne vsebuje 	19100: -0.874 
Ne vsebuje 	19101: -1.304 
Ne vsebuje 	19102: -1.542 
Ne vsebuje 	19103: -1.733 
Ne vsebuje 	19104: -0.903 
Ne vsebuje 	19105: -0.959 
Ne vsebuje 	19106: -0.900 
Ne vsebuje 	19107: -1.177 
Ne vsebuje 	19108: -0.982 
Ne vsebuje 	19109: -1.153 
Ne vsebuje 	19110: -1.148 
Ne vsebuje 	19111: -1.197 
Ne vsebuje 	19112: -0.477 
Ne vsebuje 	19113: -1.210 
Ne vsebuje 	19114: -0.463 
Ne vsebuje 	19115: -0.827 
Ne vsebuje 	19116: -1.029 
Ne vsebuje 	19117: -1.025 
Vsebuje 	19118: -0.142 
Ne vsebuje 	19119: -0.913 
Ne vsebuje 	19120: -1.133 
Vsebuje 	19121: 0.146 
Ne vsebuje 	19122: -0.793 
Ne vsebuje 	19123: -1.220 
Vsebuje 	19124: 0.768 
Ne vsebuje 	19125: -0.777 
Vsebuje 	19126: 0.181 
Ne vsebuje 	19127: -1.047 
Vsebuje 	19128: -0.742 
Ne vsebuje 	19129: -1.076 
Ne vsebuje 	19130: -1.247 
Ne vsebuje 	19131: -1.050 
Ne vsebuje 	19132: -1.002 
Ne vsebuje 	19133: -0.669 
Ne vsebuje 	19134: -0.868 
Ne vsebuje 	19135: -1.121 
Ne vsebuje 	19136: -0.750 
Ne vsebuje 	19137: -0.960 
Ne vsebuje 	19138: -1.108 
Vsebuje 	19139: 0.401 
Ne vsebuje 	19140: -1.422 
Ne vsebuje 	19141: -0.901 
Ne vsebuje 	19142: -1.235 
Ne vsebuje 	19143: -1.251 
Ne vsebuje 	19144: -1.536 
Ne vsebuje 	19145: -1.245 
Ne vsebuje 	19146: -0.890 
Ne vsebuje 	19147: -1.157 
Ne vsebuje 	19148: -1.130 
Vsebuje 	19149: -0.560 
Ne vsebuje 	19150: -0.724 
Ne vsebuje 	19151: -1.361 
Ne vsebuje 	19152: -0.775 
Vsebuje 	19153: -0.869 
Vsebuje 	19154: 0.104 
Ne vsebuje 	19155: -1.328 
Ne vsebuje 	19156: -1.354 
Vsebuje 	19157: 0.653 
Ne vsebuje 	19158: -1.049 
Ne vsebuje 	19159: -0.847 
Ne vsebuje 	19160: -1.396 
Ne vsebuje 	19161: -1.047 
Ne vsebuje 	19162: -0.700 
Ne vsebuje 	19163: -1.205 
Ne vsebuje 	19164: -1.086 
Ne vsebuje 	19165: -1.027 
Ne vsebuje 	19166: -0.843 
Ne vsebuje 	19167: -1.347 
Ne vsebuje 	19168: -1.052 
Ne vsebuje 	19169: -0.906 
Ne vsebuje 	19170: -1.395 
Vsebuje 	19171: -0.456 
Ne vsebuje 	19172: -0.829 
Ne vsebuje 	19173: -1.148 
Ne vsebuje 	19174: -0.713 
Vsebuje 	19175: 0.622 
Ne vsebuje 	19176: -0.876 
Vsebuje 	19177: 0.072 
Ne vsebuje 	19178: -0.353 
Ne vsebuje 	19179: -1.042 
Ne vsebuje 	19180: -0.677 
Vsebuje 	19181: -0.494 
Vsebuje 	19182: 0.226 
Ne vsebuje 	19183: -0.797 
Ne vsebuje 	19184: -0.698 
Ne vsebuje 	19185: -0.566 
Ne vsebuje 	19186: -1.232 
Ne vsebuje 	19187: -0.709 
Ne vsebuje 	19188: -0.719 
Ne vsebuje 	19189: -1.235 
Ne vsebuje 	19190: -0.920 
Vsebuje 	19191: 1.185 
Vsebuje 	19192: 0.733 
Vsebuje 	19193: -0.738 
Ne vsebuje 	19194: -0.827 
Ne vsebuje 	19195: -1.206 
Vsebuje 	19196: 0.915 
Ne vsebuje 	19197: -0.181 
Ne vsebuje 	19198: -0.941 
Vsebuje 	19199: 0.789 
Ne vsebuje 	19200: -0.922 
Ne vsebuje 	19201: -0.833 
Ne vsebuje 	19202: -1.242 
Ne vsebuje 	19203: -0.505 
Ne vsebuje 	19204: -0.976 
Ne vsebuje 	19205: -1.034 
Ne vsebuje 	19206: -0.155 
Ne vsebuje 	19207: 0.030 
Vsebuje 	19208: -0.946 
Ne vsebuje 	19209: -1.264 
Ne vsebuje 	19210: -0.806 
Ne vsebuje 	19211: -0.803 
Vsebuje 	19212: 0.141 
Vsebuje 	19213: -0.194 
Ne vsebuje 	19214: -0.806 
Vsebuje 	19215: -0.973 
Vsebuje 	19216: -0.622 
Ne vsebuje 	19217: -1.132 
Vsebuje 	19218: 0.626 
Vsebuje 	19219: 1.015 
Vsebuje 	19220: -0.771 
Ne vsebuje 	19221: -1.395 
Vsebuje 	19222: -0.010 
Ne vsebuje 	19223: -1.506 
Ne vsebuje 	19224: -1.263 
Ne vsebuje 	19225: -1.245 
Ne vsebuje 	19226: -1.289 
Vsebuje 	19227: 0.903 
Ne vsebuje 	19228: -1.264 
Ne vsebuje 	19229: -0.817 
Ne vsebuje 	19230: -1.296 
Ne vsebuje 	19231: -1.382 
Ne vsebuje 	19232: -0.754 
Ne vsebuje 	19233: -1.135 
Ne vsebuje 	19234: -0.674 
Ne vsebuje 	19235: -1.642 
Ne vsebuje 	19236: -0.284 
Vsebuje 	19237: -0.442 
Ne vsebuje 	19238: -0.799 
Ne vsebuje 	19239: -1.121 
Ne vsebuje 	19240: -0.747 
Ne vsebuje 	19241: -1.199 
Vsebuje 	19242: 0.646 
Vsebuje 	19243: -0.660 
Ne vsebuje 	19244: -0.890 
Ne vsebuje 	19245: -1.438 
Ne vsebuje 	19246: -1.003 
Ne vsebuje 	19247: -0.374 
Ne vsebuje 	19248: -0.705 
Vsebuje 	19249: 0.193 
Ne vsebuje 	19250: -1.196 
Ne vsebuje 	19251: -1.609 
Ne vsebuje 	19252: -1.501 
Ne vsebuje 	19253: -1.019 
Ne vsebuje 	19254: -1.372 
Vsebuje 	19255: 0.504 
Vsebuje 	19256: 0.518 
Vsebuje 	19257: 0.299 
Vsebuje 	19258: 0.568 
Vsebuje 	19259: 0.466 
Ne vsebuje 	19260: -1.452 
Ne vsebuje 	19261: -0.972 
Ne vsebuje 	19262: -0.611 
Ne vsebuje 	19263: -1.747 
Ne vsebuje 	19264: -1.619 
Ne vsebuje 	19265: -1.140 
Ne vsebuje 	19266: -1.013 
Ne vsebuje 	19267: -1.274 
Ne vsebuje 	19268: -1.221 
Ne vsebuje 	19269: -0.727 
Vsebuje 	19270: -0.366 
Vsebuje 	19271: -0.299 
Ne vsebuje 	19272: -1.363 
Ne vsebuje 	19273: -1.181 
Ne vsebuje 	19274: -0.838 
Ne vsebuje 	19275: -1.162 
Ne vsebuje 	19276: -0.907 
Ne vsebuje 	19277: -0.484 
Vsebuje 	19278: 0.083 
Ne vsebuje 	19279: -0.711 
Vsebuje 	19280: -0.748 
Vsebuje 	19281: 0.622 
Vsebuje 	19282: 0.062 
Vsebuje 	19283: -0.096 
Vsebuje 	19284: -0.442 
Vsebuje 	19285: 0.128 
Ne vsebuje 	19286: -0.286 
Ne vsebuje 	19287: -0.108 
Vsebuje 	19288: 0.374 
Vsebuje 	19289: -0.806 
Vsebuje 	19290: 0.136 
Vsebuje 	19291: 1.164 
Vsebuje 	19292: 0.928 
Vsebuje 	19293: 1.462 
Vsebuje 	19294: -0.682 
Ne vsebuje 	19295: -1.395 
Ne vsebuje 	19296: -0.650 
Ne vsebuje 	19297: -0.500 
Ne vsebuje 	19298: -1.442 
Ne vsebuje 	19299: -1.254 
Ne vsebuje 	19300: -0.592 
Ne vsebuje 	19301: -0.463 
Vsebuje 	19302: -0.324 
Ne vsebuje 	19303: -0.617 
Ne vsebuje 	19304: -0.751 
Ne vsebuje 	19305: -1.507 
Ne vsebuje 	19306: -0.905 
Ne vsebuje 	19307: -1.454 
Ne vsebuje 	19308: -0.958 
Vsebuje 	19309: -0.160 
Vsebuje 	19310: 0.091 
Ne vsebuje 	19311: -1.226 
Vsebuje 	19312: 0.383 
Ne vsebuje 	19313: -1.580 
Ne vsebuje 	19314: -0.665 
Vsebuje 	19315: 0.041 
Ne vsebuje 	19316: -0.283 
Vsebuje 	19317: -0.432 
Vsebuje 	19318: 0.237 
Ne vsebuje 	19319: -0.885 
Ne vsebuje 	19320: -1.348 
Ne vsebuje 	19321: -0.793 
Ne vsebuje 	19322: -1.273 
Ne vsebuje 	19323: -0.647 
Ne vsebuje 	19324: -0.544 
Ne vsebuje 	19325: -1.185 
Ne vsebuje 	19326: -1.428 
Ne vsebuje 	19327: -1.144 
Ne vsebuje 	19328: -1.298 
Ne vsebuje 	19329: -1.149 
Ne vsebuje 	19330: -0.727 
Ne vsebuje 	19331: -0.728 
Ne vsebuje 	19332: -0.935 
Ne vsebuje 	19333: -1.275 
Ne vsebuje 	19334: -1.830 
Ne vsebuje 	19335: -0.817 
Ne vsebuje 	19336: -1.076 
Ne vsebuje 	19337: -1.267 
Ne vsebuje 	19338: -0.886 
Vsebuje 	19339: 0.286 
Ne vsebuje 	19340: -0.885 
Ne vsebuje 	19341: -1.199 
Ne vsebuje 	19342: 0.121 
Ne vsebuje 	19343: -1.300 
Ne vsebuje 	19344: 1.217 
Vsebuje 	19345: 0.453 
Ne vsebuje 	19346: -1.489 
Ne vsebuje 	19347: -1.293 
Ne vsebuje 	19348: -0.743 
Ne vsebuje 	19349: 0.673 
Ne vsebuje 	19350: -0.841 
Vsebuje 	19351: 0.228 
Ne vsebuje 	19352: -0.604 
Ne vsebuje 	19353: -1.042 
Ne vsebuje 	19354: -1.109 
Ne vsebuje 	19355: -0.902 
Ne vsebuje 	19356: -0.163 
Ne vsebuje 	19357: -0.665 
Vsebuje 	19358: 0.508 
Ne vsebuje 	19359: -0.186 
Ne vsebuje 	19360: -0.793 
Ne vsebuje 	19361: -0.842 
Ne vsebuje 	19362: -0.150 
Vsebuje 	19363: -0.300 
Ne vsebuje 	19364: -0.923 
Vsebuje 	19365: -0.181 
Vsebuje 	19366: 0.223 
Ne vsebuje 	19367: -1.285 
Ne vsebuje 	19368: -1.421 
Ne vsebuje 	19369: -0.973 
Vsebuje 	19370: -0.091 
Ne vsebuje 	19371: -1.041 
Ne vsebuje 	19372: -1.126 
Ne vsebuje 	19373: -1.204 
Ne vsebuje 	19374: -0.734 
Ne vsebuje 	19375: -1.011 
Ne vsebuje 	19376: -0.203 
Vsebuje 	19377: -1.183 
Vsebuje 	19378: -0.755 
Vsebuje 	19379: -1.071 
Ne vsebuje 	19380: -1.337 
Ne vsebuje 	19381: -1.058 
Ne vsebuje 	19382: -0.862 
Vsebuje 	19383: -0.454 
Ne vsebuje 	19384: -1.823 
Vsebuje 	19385: -0.763 
Ne vsebuje 	19386: -1.273 
Ne vsebuje 	19387: -1.254 
Ne vsebuje 	19388: -1.212 
Vsebuje 	19389: 0.497 
Vsebuje 	19390: -0.211 
Vsebuje 	19391: -0.179 
Ne vsebuje 	19392: -1.182 
Ne vsebuje 	19393: -1.253 
Ne vsebuje 	19394: -1.334 
Vsebuje 	19395: -0.749 
Vsebuje 	19396: -0.336 
Vsebuje 	19397: -0.067 
Ne vsebuje 	19398: -1.144 
Ne vsebuje 	19399: -0.659 
Ne vsebuje 	19400: -0.237 
Ne vsebuje 	19401: -1.449 
Ne vsebuje 	19402: -1.109 
Vsebuje 	19403: 0.175 
Ne vsebuje 	19404: -1.014 
Ne vsebuje 	19405: 0.562 
Ne vsebuje 	19406: -0.862 
Vsebuje 	19407: 0.127 
Vsebuje 	19408: 0.800 
Vsebuje 	19409: 0.166 
Vsebuje 	19410: -0.579 
Ne vsebuje 	19411: -1.426 
Vsebuje 	19412: -0.027 
Vsebuje 	19413: 1.016 
Ne vsebuje 	19414: -0.794 
Ne vsebuje 	19415: -1.309 
Vsebuje 	19416: 0.147 
Vsebuje 	19417: -0.121 
Ne vsebuje 	19418: -0.524 
Ne vsebuje 	19419: -0.443 
Ne vsebuje 	19420: -1.160 
Ne vsebuje 	19421: -1.056 
Ne vsebuje 	19422: -1.142 
Vsebuje 	19423: 0.425 
Ne vsebuje 	19424: -0.747 
Vsebuje 	19425: -0.349 
Ne vsebuje 	19426: -0.912 
Ne vsebuje 	19427: -0.990 
Ne vsebuje 	19428: -1.177 
Ne vsebuje 	19429: -0.768 
Ne vsebuje 	19430: -1.421 
Ne vsebuje 	19431: -1.111 
Ne vsebuje 	19432: -0.581 
Ne vsebuje 	19433: -0.965 
Ne vsebuje 	19434: -0.713 
Vsebuje 	19435: -0.227 
Vsebuje 	19436: -0.016 
Ne vsebuje 	19437: -0.667 
Ne vsebuje 	19438: -0.746 
Vsebuje 	19439: -0.047 
Ne vsebuje 	19440: -0.869 
Vsebuje 	19441: -0.457 
Vsebuje 	19442: -0.310 
Ne vsebuje 	19443: -0.990 
Ne vsebuje 	19444: -1.186 
Ne vsebuje 	19445: -0.522 
Ne vsebuje 	19446: -1.184 
Ne vsebuje 	19447: -1.391 
Ne vsebuje 	19448: -1.601 
Vsebuje 	19449: -0.007 
Vsebuje 	19450: -0.367 
Ne vsebuje 	19451: -1.361 
Ne vsebuje 	19452: -0.225 
Ne vsebuje 	19453: -0.423 
Ne vsebuje 	19454: -0.439 
Vsebuje 	19455: -0.790 
Ne vsebuje 	19456: -0.733 
Vsebuje 	19457: 0.355 
Vsebuje 	19458: -0.683 
Ne vsebuje 	19459: -0.344 
Vsebuje 	19460: -0.309 
Vsebuje 	19461: -0.683 
Vsebuje 	19462: -0.147 
Ne vsebuje 	19463: -0.882 
Ne vsebuje 	19464: -1.170 
Ne vsebuje 	19465: -1.172 
Vsebuje 	19466: -0.476 
Vsebuje 	19467: -0.095 
Vsebuje 	19468: 0.124 
Vsebuje 	19469: 0.005 
Ne vsebuje 	19470: -0.716 
Vsebuje 	19471: -0.663 
Ne vsebuje 	19472: -0.472 
Ne vsebuje 	19473: -0.764 
Ne vsebuje 	19474: -1.185 
Vsebuje 	19475: -0.453 
Vsebuje 	19476: -0.147 
Ne vsebuje 	19477: -0.697 
Ne vsebuje 	19478: -0.778 
Ne vsebuje 	19479: -1.226 
Ne vsebuje 	19480: -1.066 
Ne vsebuje 	19481: -1.587 
Ne vsebuje 	19482: -0.824 
Ne vsebuje 	19483: -0.887 
Ne vsebuje 	19484: -1.275 
Ne vsebuje 	19485: -0.874 
Ne vsebuje 	19486: -0.944 
Ne vsebuje 	19487: -0.929 
Ne vsebuje 	19488: -1.290 
Ne vsebuje 	19489: -0.884 
Ne vsebuje 	19490: -1.207 
Ne vsebuje 	19491: -0.687 
Ne vsebuje 	19492: -0.578 
Vsebuje 	19493: -0.622 
Vsebuje 	19494: -1.389 
Ne vsebuje 	19495: -1.069 
Ne vsebuje 	19496: -1.048 
Ne vsebuje 	19497: -1.411 
Vsebuje 	19498: -0.183 
Ne vsebuje 	19499: -0.596 
Vsebuje 	19500: -0.519 
Ne vsebuje 	19501: -1.442 
Ne vsebuje 	19502: -1.342 
Ne vsebuje 	19503: -1.637 
Ne vsebuje 	19504: -1.246 
Ne vsebuje 	19505: -0.561 
Ne vsebuje 	19506: -0.509 
Ne vsebuje 	19507: -1.499 
